id,Name in English,Countries,Country codes,Degree of endangerment,Number of speakers
436,Nalu,Guinea,GIN,Definitely endangered,130000
437,Tagoi,Sudan,SDN,Severely endangered,130000
438,Karko,Sudan,SDN,Definitely endangered,129860
439,San Mateo del Mar Huave,Mexico,MEX,Vulnerable,126670
440,Q'eqchi' (Belize),Belize,BLZ,Vulnerable,123660
441,Kadaru,Sudan,SDN,Definitely endangered,123600
442,Mazatlán Mazatec,Mexico,MEX,Vulnerable,123400
443,Badiaranke,Guinea,GIN,Severely endangered,122050
444,Alune,Indonesia,IDN,Vulnerable,120000
445,Bangani,India,IND,Critically endangered,120000
446,Chamalal,Russian Federation,RUS,Definitely endangered,120000
447,Chru,Viet Nam,VNM,Vulnerable,120000
448,Hill Miri,India,IND,Definitely endangered,120000
449,Jinuo,China,CHN,Definitely endangered,120000
450,Muya,China,CHN,Vulnerable,120000
451,Samei,China,CHN,Severely endangered,120000
452,Tajio,Indonesia,IDN,Vulnerable,120000
453,Tobada',Indonesia,IDN,Extinct,120000
454,Yaqui (Mexico),Mexico,MEX,Vulnerable,118060
455,Ch'orti' (Guatemala),Guatemala,GTM,Definitely endangered,117340
456,Filomeno Mata Totonac,Mexico,MEX,Vulnerable,117100
457,Komo,Ethiopia;Sudan,ETH;SDN,Definitely endangered,115000
458,Tuwuli,Ghana,GHA,Vulnerable,114000
459,Idu,China;India,CHN;IND,Definitely endangered,111010
460,Kari'ña (Venezuela),Venezuela (Bolivarian Republic of),VEN,Severely endangered,110000
461,Machiguenga,Peru,PER,Definitely endangered,110000
462,Piaroa (Venezuela),Venezuela (Bolivarian Republic of),VEN,Vulnerable,110000
463,Tuvaluan,Tuvalu,TUV,Definitely endangered,110000
464,Waunana (Colombia),Colombia,COL,Vulnerable,110000
465,Noon,Senegal,SEN,Vulnerable,109250
466,Sampang,Nepal,NPL,Vulnerable,108100
467,Central Alaskan Yupik (2),United States of America,USA,Vulnerable,104000
468,Central Alaskan Yupik (Nuniak Island),United States of America,USA,Vulnerable,104000
469,Bukiyip,Papua New Guinea,PNG,Vulnerable,103040
470,Saparua,Indonesia,IDN,Definitely endangered,102160
471,Darai,Nepal,NPL,Severely endangered,102100
472,Bandial,Senegal,SEN,Vulnerable,101250
473,Bongo,Sudan,SDN,Definitely endangered,100840
474,Northwestern Tarahumara,Mexico,MEX,Vulnerable,100310
475,Algherese Catalan,Italy,ITA,Definitely endangered,100000
476,Aragonese,Spain,ESP,Definitely endangered,100000
477,Baima,China,CHN,Vulnerable,100000
478,Bukharic,Uzbekistan,UZB,Definitely endangered,100000
479,Bunun,China,CHN,Vulnerable,100000
480,Burunge,United Republic of Tanzania,TZA,Vulnerable,100000
481,Chayahuita,Peru,PER,Definitely endangered,100000
482,Cherokee (Oklahoma),United States of America,USA,Definitely endangered,100000
483,Dalecarlian,Sweden,SWE,Definitely endangered,100000
484,Huitoto (Colombia;Peru),Colombia;Peru,COL;PER,Definitely endangered,100000
485,Hulaula (Israel),Israel,ISR,Severely endangered,100000
486,Karang,Chad,TCD,Vulnerable,100000
487,Karelian (Tver),Russian Federation,RUS,Definitely endangered,100000
488,Karone,Senegal,SEN,Vulnerable,100000
489,Kryz,Azerbaijan,AZE,Severely endangered,100000
490,Kurripako (Colombia;Venezuela),Colombia;Venezuela (Bolivarian Republic of),COL;VEN,Definitely endangered,100000
491,Kurtöp,Bhutan,BTN,Vulnerable,100000
492,Lamgang,India,IND,Critically endangered,100000
493,Miqie,China,CHN,Definitely endangered,100000
494,Mojo,Bolivia (Plurinational State of),BOL,Definitely endangered,100000
495,Muot,India,IND,Critically endangered,100000
496,Naiki,India,IND,Critically endangered,100000
497,Ñandeva Guarani,Brazil,BRA,Vulnerable,100000
498,Ngwaba,Nigeria,NGA,Severely endangered,100000
499,North Frisian,Germany,DEU,Severely endangered,100000
500,Northern Khanty,Russian Federation,RUS,Definitely endangered,100000
501,Nyah Kur,Thailand,THA,Definitely endangered,100000
502,Nyenkha,Bhutan,BTN,Vulnerable,100000
503,Orang Hulu,Malaysia,MYS,Definitely endangered,100000
504,Otoro,Sudan,SDN,Severely endangered,100000
505,Solon,China,CHN,Definitely endangered,100000
506,Southern Tujia,China,CHN,Severely endangered,100000
507,Taba,Indonesia,IDN,Vulnerable,100000
508,Talu,China,CHN,Vulnerable,100000
509,Tamazight (Tunisia),Tunisia,TUN,Severely endangered,100000
510,Tayal,China,CHN,Vulnerable,100000
511,Temein,Sudan,SDN,Severely endangered,100000
512,Temiar,Malaysia,MYS,Definitely endangered,100000
513,Vidunda,United Republic of Tanzania,TZA,Vulnerable,100000
514,Kogui,Colombia,COL,Vulnerable,99110
515,Paloor,Senegal,SEN,Vulnerable,96800
516,Choctaw (Louisiana),United States of America,USA,Vulnerable,95000
517,Choctaw (Mississipi),United States of America,USA,Vulnerable,95000
518,Choctaw (Oklahoma),United States of America,USA,Vulnerable,95000
519,Gawar-Bati,Pakistan;Afghanistan,PAK;AFG,Definitely endangered,95000
520,Taruang,China;India;Myanmar,CHN;IND;MMR,Vulnerable,93320
521,Khaling,Nepal,NPL,Definitely endangered,92880
522,Nunavimmiutitut,Canada,CAN,Vulnerable,91050
523,Woods Cree,Canada,CAN,Vulnerable,90950
524,Phula (Viet Nam),Viet Nam,VNM,Definitely endangered,90460
525,Dol-po,Nepal,NPL,Definitely endangered,90000
526,Helong,Indonesia,IDN,Severely endangered,90000
527,Lisela,Indonesia,IDN,Vulnerable,90000
528,Motuo Menba,China;India,CHN;IND,Definitely endangered,90000
529,Panamahka,Nicaragua,NIC,Vulnerable,90000
530,Zuni,United States of America,USA,Vulnerable,90000
531,Mopán (Belize),Belize,BLZ,Severely endangered,89800
532,Tulishi,Sudan,SDN,Severely endangered,86280
533,Central Cuicatec,Mexico,MEX,Vulnerable,86210
534,Ts'amay,Ethiopia,ETH,Definitely endangered,86210
535,Phalura,Pakistan,PAK,Definitely endangered,86000
536,Ixcatlán Mazatec,Mexico,MEX,Vulnerable,85930
537,Patla-Chicontla Totonac,Mexico,MEX,Severely endangered,85900
538,Toram,Chad,TCD,Severely endangered,84560
539,Dene,Canada,CAN,Vulnerable,81950
540,Micmac (Massachusetts),United States of America,USA,Definitely endangered,81450
541,Argobba,Ethiopia,ETH,Critically endangered,80000
542,Austral dialects,French Polynesia (France),PYF,Definitely endangered,80000
543,Belanda Bor,Sudan,SDN,Definitely endangered,80000
544,Feroge,Sudan,SDN,Vulnerable,80000
545,Inga,Colombia,COL,Severely endangered,80000
546,Kanga,Sudan,SDN,Severely endangered,80000
547,Lajia,China,CHN,Definitely endangered,80000
548,Lakha,Bhutan,BTN,Definitely endangered,80000
549,Mbya Guarani (Paraguay),Paraguay,PRY,Definitely endangered,80000
550,Mundurukú,Brazil,BRA,Vulnerable,80000
551,Ojibwe,United States of America,USA,Severely endangered,80000
552,Quichua (Salasaca),Ecuador,ECU,Definitely endangered,80000
553,Rongpo,India,IND,Vulnerable,80000
554,Sanyi,China,CHN,Severely endangered,80000
555,Temuan,Malaysia,MYS,Severely endangered,80000
556,Tingal,Sudan,SDN,Definitely endangered,80000
557,Wampis,Peru,PER,Vulnerable,80000
558,Wunai Bunu,China,CHN,Definitely endangered,80000
559,Yanesha,Peru,PER,Severely endangered,80000
560,Pana,Burkina Faso,BFA,Definitely endangered,78000
561,Macushi (Guyana),Guyana,GUY,Vulnerable,77500
562,Chukchi,Russian Federation,RUS,Severely endangered,77420
563,Awa Cuaiquer,Colombia,COL,Critically endangered,75000
564,Lishana Deni (Israel),Israel,ISR,Severely endangered,75000
565,Central Pame,Mexico,MEX,Vulnerable,73990
566,Puinave,Colombia;Venezuela (Bolivarian Republic of),COL;VEN,Definitely endangered,73770
567,Mebengokre,Brazil,BRA,Vulnerable,72660
568,Tunebo,Colombia;Venezuela (Bolivarian Republic of),COL;VEN,Definitely endangered,72310
569,Quechua of Peruvian Amazonia,Peru,PER,Vulnerable,72000
570,Asur,India,IND,Definitely endangered,70000
571,Bashkardi,Iran (Islamic Republic of),IRN,Definitely endangered,70000
572,Burji,Kenya,KEN,Vulnerable,70000
573,Choyi,China,CHN,Definitely endangered,70000
574,Gazi,Iran (Islamic Republic of),IRN,Definitely endangered,70000
575,Guichong,China,CHN,Vulnerable,70000
576,Natanzi,Iran (Islamic Republic of),IRN,Severely endangered,70000
577,Nayini,Iran (Islamic Republic of),IRN,Severely endangered,70000
578,Parya,Uzbekistan;Tajikistan;Afghanistan,UZB;TJK;AFG,Severely endangered,70000
579,Segeju,United Republic of Tanzania,TZA,Severely endangered,70000
580,Sivandi,Iran (Islamic Republic of),IRN,Definitely endangered,70000
581,Soi,Iran (Islamic Republic of),IRN,Definitely endangered,70000
582,Tucano (Brazil),Brazil,BRA,Vulnerable,70000
583,Wapishana (Guyana),Guyana,GUY,Vulnerable,70000
584,Yulu,Central African Republic;Democratic Republic of the Congo;Sudan,CAF;ZAI;SDN,Vulnerable,70000
585,Zhaba,China,CHN,Vulnerable,70000
586,Sakapultek,Guatemala,GTM,Definitely endangered,69730
587,Chara,Ethiopia,ETH,Vulnerable,69320
588,Kosraean,Micronesia (Federated States of);Nauru,FSM;NRU,Severely endangered,69000
589,Waunana (Panama),Panama,PAN,Severely endangered,68820
590,San Francisco del Mar Huave,Mexico,MEX,Critically endangered,68740
591,Northern East Cree,Canada,CAN,Vulnerable,68700
592,Micmac (Canada),Canada,CAN,Vulnerable,68500
593,Northern Tepehuán,Mexico,MEX,Definitely endangered,68020
594,Miju,China;India,CHN;IND,Vulnerable,67000
595,Bussa,Ethiopia,ETH,Vulnerable,66240
596,Beli,Sudan,SDN,Definitely endangered,66000
597,Chesu,China,CHN,Definitely endangered,66000
598,Thuri,Sudan,SDN,Vulnerable,66000
599,Karata,Russian Federation,RUS,Definitely endangered,65740
600,Saulteau,Canada,CAN,Vulnerable,65580
601,Kumāle,Nepal,NPL,Severely endangered,65330
602,Dimme,Ethiopia,ETH,Vulnerable,65010
603,Chiquitano (Bolivia),Bolivia (Plurinational State of),BOL,Definitely endangered,65000
604,Tumtum,Sudan,SDN,Severely endangered,65000
605,Bezhta,Russian Federation,RUS,Definitely endangered,64610
606,Thakali,Nepal,NPL,Vulnerable,64410
607,Dongotono,Sudan,SDN,Vulnerable,62190
608,Mawé,Brazil,BRA,Vulnerable,62190
609,Shor,Russian Federation,RUS,Severely endangered,62100
610,Oji-Cree,Canada,CAN,Vulnerable,61100
611,Keiga,Sudan,SDN,Severely endangered,60720
612,Ampibabo Lauje,Indonesia,IDN,Vulnerable,60000
613,Cashinahua (Brazil),Brazil,BRA,Vulnerable,60000
614,Geji cluster,Nigeria,NGA,Severely endangered,60000
615,Mbya Guarani (Brazil),Brazil,BRA,Vulnerable,60000
616,Moklen,Myanmar;Thailand,MMR;THA,Definitely endangered,60000
617,Nauruan,Nauru,NRU,Severely endangered,60000
618,Nheengatu / Yeral (Brazil),Brazil,BRA,Severely endangered,60000
619,Parachi,Afghanistan,AFG,Definitely endangered,60000
620,Quechua of San Martín,Peru,PER,Severely endangered,60000
621,Sawkna,Libyan Arab Jamahiriya,LBY,Critically endangered,60000
622,Sulung,China;India,CHN;IND,Definitely endangered,60000
623,Tindi,Russian Federation,RUS,Definitely endangered,60000
624,Western Apache,United States of America,USA,Definitely endangered,60000
625,Yanomami (Brazil),Brazil,BRA,Vulnerable,60000
626,Yazgulami,Tajikistan,TJK,Severely endangered,60000
627,Chantyal,Nepal,NPL,Definitely endangered,59120
628,Mortlockese,Micronesia (Federated States of),FSM,Definitely endangered,59040
629,Baníwa do Içana,Brazil;Colombia;Venezuela (Bolivarian Republic of),BRA;COL;VEN,Vulnerable,58110
630,Akawaio (Guyana;Venezuela),Guyana;Venezuela (Bolivarian Republic of),GUY;VEN,Definitely endangered,58000
631,Akhvakh,Russian Federation,RUS,Definitely endangered,57930
632,Veps,Russian Federation,RUS,Severely endangered,57530
633,Qikiqtaaluk nigiani,Canada,CAN,Vulnerable,57400
634,Sipakapense,Guatemala,GTM,Definitely endangered,56870
635,Bribri (Costa Rica),Costa Rica,CRI,Vulnerable,56470
636,Bainouk-Gunyaamolo,Senegal,SEN,Vulnerable,56350
637,Kwatay,Senegal,SEN,Severely endangered,56250
638,Baheng (Viet Nam),Viet Nam,VNM,Vulnerable,55690
639,Dameli,Pakistan,PAK,Severely endangered,55000
640,Sak (Bangladesh),Bangladesh,BGD,Severely endangered,55000
641,Yidgha,Pakistan,PAK,Definitely endangered,55000
642,Southeastern Tarahumara,Mexico,MEX,Vulnerable,54060
643,Chimané,Bolivia (Plurinational State of),BOL,Vulnerable,53000
644,Dilling,Sudan,SDN,Definitely endangered,52950
645,San Dionisio del Mar Huave,Mexico,MEX,Definitely endangered,51650
646,Lafofa,Sudan,SDN,Severely endangered,51400
647,Akeu,Lao People's Democratic Republic;Myanmar;Thailand,LAO;MMR;THA,Definitely endangered,50000
648,Anung (China),China,CHN,Critically endangered,50000
649,Bagvalal,Russian Federation,RUS,Definitely endangered,50000
650,Bambassi,Ethiopia,ETH,Definitely endangered,50000
651,Barí,Colombia,COL,Vulnerable,50000
652,Bartangi,Tajikistan,TJK,Severely endangered,50000
653,Bokar,China;India,CHN;IND,Vulnerable,50000
654,Brokpa,Bhutan,BTN,Definitely endangered,50000
655,Creek,United States of America,USA,Definitely endangered,50000
656,Cubeo (Colombia),Colombia,COL,Vulnerable,50000
657,Dagur (Hailar),China,CHN,Definitely endangered,50000
658,Damal,Indonesia,IDN,Vulnerable,50000
659,Dhaiso,United Republic of Tanzania,TZA,Definitely endangered,50000
660,Gorum,India,IND,Definitely endangered,50000
661,Guarayu,Bolivia (Plurinational State of),BOL,Definitely endangered,50000
662,Gutnish,Sweden,SWE,Definitely endangered,50000
663,Hopi,United States of America,USA,Vulnerable,50000
664,Ilue,Nigeria,NGA,Critically endangered,50000
665,Jibbali,Oman,OMN,Severely endangered,50000
666,Kalasha,Pakistan,PAK,Severely endangered,50000
667,Kami,United Republic of Tanzania,TZA,Severely endangered,50000
668,Kathu,China,CHN,Definitely endangered,50000
669,Khojki,Oman,OMN,Severely endangered,50000
670,Khwe,Namibia,NAM,Definitely endangered,50000
671,Kom,India,IND,Definitely endangered,50000
672,Korandje,Algeria,DZA,Severely endangered,50000
673,Lachi,Viet Nam,VNM,Definitely endangered,50000
674,Mak,China,CHN,Definitely endangered,50000
675,Manihiki,Cook Islands,COK,Definitely endangered,50000
676,Megleno-Romanian,Greece;The former Yugoslav Republic of Macedonia,GRC;MKD,Severely endangered,50000
677,Molise Croatian,Italy,ITA,Severely endangered,50000
678,Moroccan Judeo-Arabic (Morocco),Morocco,MAR,Severely endangered,50000
679,Namuyi,China,CHN,Vulnerable,50000
680,Padoe,Indonesia,IDN,Vulnerable,50000
681,Patamona (Guyana),Guyana,GUY,Vulnerable,50000
682,Pu,India,IND,Critically endangered,50000
683,Pume,Venezuela (Bolivarian Republic of),VEN,Definitely endangered,50000
684,Singpho,India,IND,Definitely endangered,50000
685,Turi,India,IND,Definitely endangered,50000
686,Udi (Azerbaijan),Azerbaijan,AZE,Severely endangered,50000
687,Yecuana (Venezuela),Venezuela (Bolivarian Republic of),VEN,Vulnerable,50000
688,Jirel,Nepal,NPL,Definitely endangered,49190
689,Dolgan,Russian Federation,RUS,Definitely endangered,48650
690,Tsum,Nepal,NPL,Definitely endangered,47860
691,Taroko,China,CHN,Vulnerable,47500
692,Kivallirmiutut,Canada,CAN,Vulnerable,46750
693,Zapotec of Petapa,Mexico,MEX,Definitely endangered,46130
694,Dungmali,Nepal,NPL,Definitely endangered,46090
695,Saryg Yugur,China,CHN,Severely endangered,46000
696,Qikiqtaaluk uannangani,Canada,CAN,Vulnerable,45500
697,Afitti,Sudan,SDN,Severely endangered,45120
698,Nomatsiguenga,Peru,PER,Severely endangered,45000
699,Piapoko,Colombia;Venezuela (Bolivarian Republic of),COL;VEN,Definitely endangered,45000
700,Tokelauan,Tokelau,TKL,Severely endangered,45000
701,Wotu,Indonesia,IDN,Vulnerable,45000
702,Wambule,Nepal,NPL,Vulnerable,44710
703,Southern East Cree,Canada,CAN,Vulnerable,44550
704,Arbore,Ethiopia,ETH,Definitely endangered,44410
705,Ebang,Sudan,SDN,Severely endangered,44120
706,Tafi,Ghana,GHA,Vulnerable,44000
707,Puma,Nepal,NPL,Severely endangered,43100
708,Gyele,Cameroon;Equatorial Guinea,CMR;GNQ,Definitely endangered,42800
709,Bwisi,Congo;Gabon,COG;GAB,Definitely endangered,42480
710,Eastern Montagnais,Canada,CAN,Vulnerable,41800
711,Atikamekw,Canada,CAN,Vulnerable,41550
712,Acoma-Laguna,United States of America,USA,Definitely endangered,40000
713,Aka,India;Sudan,IND;SDN,Definitely endangered,40000
714,Baga Manduri,Guinea,GIN,Definitely endangered,40000
715,Baga Sitemu,Guinea,GIN,Severely endangered,40000
716,Botlikh,Russian Federation,RUS,Definitely endangered,40000
717,Bunan,India,IND,Definitely endangered,40000
718,Cashinahua (Peru),Peru,PER,Definitely endangered,40000
719,Cha'palaa,Ecuador,ECU,Definitely endangered,40000
720,Evenki (Manchuria),China,CHN,Severely endangered,40000
721,Gazhuo,China,CHN,Definitely endangered,40000
722,Godoberi,Russian Federation,RUS,Definitely endangered,40000
723,Kari'ña (Guyana;Suriname),Guyana;Suriname,GUY;SUR,Severely endangered,40000
724,Lishan Didan (Israel),Israel,ISR,Severely endangered,40000
725,Napu,Indonesia,IDN,Vulnerable,40000
726,Rahambuu,Indonesia,IDN,Vulnerable,40000
727,Shingsaba,China;Nepal,CHN;NPL,Vulnerable,40000
728,Sinkiang Dagur,China,CHN,Definitely endangered,40000
729,Taa,Botswana,BWA,Definitely endangered,40000
730,Tennet,Sudan,SDN,Vulnerable,40000
731,Wapishana (Brazil),Brazil,BRA,Definitely endangered,40000
732,Yagua,Peru,PER,Definitely endangered,40000
733,Yanomám,Brazil,BRA,Vulnerable,40000
734,Yanomami (Venezuela),Venezuela (Bolivarian Republic of),VEN,Vulnerable,40000
735,Younuo Bunu,China,CHN,Definitely endangered,40000
736,Zenaga (Mauritania),Mauritania,MRT,Severely endangered,40000
737,Baghati,India,IND,Critically endangered,39760
738,Bharmauri,India,IND,Definitely endangered,39760
739,Uspantek,Guatemala,GTM,Vulnerable,39710
740,Khang Quang Lam,Viet Nam,VNM,Severely endangered,39210
741,Konni,Ghana,GHA,Vulnerable,38000
742,Tocho,Sudan,SDN,Severely endangered,38000
743,Nupri,Nepal,NPL,Definitely endangered,37760
744,Ayoreo,Bolivia (Plurinational State of),BOL,Definitely endangered,37000
745,Moyon,India,IND,Definitely endangered,37000
746,Utsat,China,CHN,Definitely endangered,37000
747,Nayi,Ethiopia,ETH,Vulnerable,36560
748,Mussau-Emira,Papua New Guinea,PNG,Definitely endangered,36510
749,Narim,Sudan,SDN,Definitely endangered,36230
750,Garífuna (Guatemala),Guatemala,GTM,Vulnerable,35640
751,Nachiring,Nepal,NPL,Severely endangered,35530
752,Eastern Popoloc,Mexico,MEX,Vulnerable,35440
753,Nding,Sudan,SDN,Critically endangered,35130
754,Anung (Myanmar),Myanmar,MMR,Severely endangered,35000
755,Camsá,Colombia,COL,Definitely endangered,35000
756,Crow,United States of America,USA,Definitely endangered,35000
757,Sak (Myanmar),Myanmar,MMR,Vulnerable,35000
758,Shwai,Sudan,SDN,Critically endangered,35000
759,Wano,Indonesia,IDN,Definitely endangered,35000
760,Northwestern Ojibwe,Canada,CAN,Vulnerable,34650
761,Bakpinka,Nigeria,NGA,Critically endangered,34160
762,Morokodo,Sudan,SDN,Severely endangered,34000
763,Eloxochitlán Mazatec,Mexico,MEX,Vulnerable,33840
764,Menik,Senegal,SEN,Definitely endangered,33750
765,Teribe (Panama),Panama,PAN,Definitely endangered,33050
766,Tima,Sudan,SDN,Severely endangered,33050
767,Mursi,Ethiopia,ETH,Vulnerable,32780
768,Pendau,Indonesia,IDN,Vulnerable,32000
769,Ayautla Mazatec,Mexico,MEX,Vulnerable,31920
770,Yucatec,Belize,BLZ,Definitely endangered,31550
771,Eastern Tlapanec,Mexico,MEX,Vulnerable,30880
772,Juhur (Caucasus),Azerbaijan;Russian Federation,AZE;RUS,Definitely endangered,30160
773,Awjila,Libyan Arab Jamahiriya,LBY,Severely endangered,30000
774,Baleasang,Indonesia,IDN,Definitely endangered,30000
775,Benga,Gabon;Equatorial Guinea,GAB;GNQ,Definitely endangered,30000
776,Besoa,Indonesia,IDN,Vulnerable,30000
777,Boni,Kenya,KEN,Definitely endangered,30000
778,Bonjo,Congo,COG,Severely endangered,30000
779,Brokshat,India,IND,Definitely endangered,30000
780,Budukh,Azerbaijan,AZE,Severely endangered,30000
781,East Greenlandic,Greenland (Kingdom of Denmark),GRL,Definitely endangered,30000
782,Eastern Khanty,Russian Federation,RUS,Definitely endangered,30000
783,Fyem,Nigeria,NGA,Severely endangered,30000
784,Geta?,India,IND,Severely endangered,30000
785,Gura,Nigeria,NGA,Severely endangered,30000
786,Harsusi,Oman,OMN,Definitely endangered,30000
787,Hozo,Ethiopia,ETH,Definitely endangered,30000
788,Jemez,United States of America,USA,Vulnerable,30000
789,Kamara,Ghana,GHA,Definitely endangered,30000
790,Kapingamarangi,Micronesia (Federated States of),FSM,Severely endangered,30000
791,Koitabu,Papua New Guinea,PNG,Vulnerable,30000
792,Kuk,Cameroon,CMR,Definitely endangered,30000
793,Lai,China,CHN,Definitely endangered,30000
794,Lishanid Noshan (Israel),Israel,ISR,Severely endangered,30000
795,Lude,Russian Federation,RUS,Severely endangered,30000
796,Mbya Guarani (Argentina;Uruguay),Argentina;Uruguay,ARG;URY,Severely endangered,30000
797,Mohawk (Akwesasne;St. Regis),United States of America,USA,Definitely endangered,30000
798,Nanay,China;Russian Federation,CHN;RUS,Severely endangered,30000
799,Panare,Venezuela (Bolivarian Republic of),VEN,Vulnerable,30000
800,Pilagá,Argentina,ARG,Vulnerable,30000
801,Pitjantjatjara,Australia,AUS,Vulnerable,30000
802,Pukur,Guinea,GIN,Definitely endangered,30000
803,Rotuman,Fiji,FJI,Vulnerable,30000
804,Savi,Pakistan;Afghanistan,PAK;AFG,Definitely endangered,30000
805,Sherdukpen,India,IND,Vulnerable,30000
806,Shira Yugur,China,CHN,Severely endangered,30000
807,Takahanyilang,India,IND,Critically endangered,30000
808,U,China,CHN,Definitely endangered,30000
809,Ulithian,Micronesia (Federated States of),FSM,Severely endangered,30000
810,Waima'a,Timor-Leste,TLS,Definitely endangered,30000
811,Warlpiri,Australia,AUS,Vulnerable,30000
812,Yukpa,Venezuela (Bolivarian Republic of),VEN,Vulnerable,30000
813,Western Montagnais,Canada,CAN,Vulnerable,29800
814,Waiwai (Brazil),Brazil,BRA,Vulnerable,29160
815,Jersey French,United Kingdom of Great Britain and Northern Ireland,GBR,Severely endangered,28740
816,Bahing,Nepal,NPL,Definitely endangered,27650
817,Stoney,Canada,CAN,Vulnerable,27650
818,Southwestern Tepehuan,Mexico,MEX,Vulnerable,27560
819,Northern Mansi,Russian Federation,RUS,Severely endangered,27460
820,Bisu,Myanmar;Thailand,MMR;THA,Definitely endangered,27400
821,Wari,Brazil,BRA,Definitely endangered,27210
822,Pakan,China,CHN,Definitely endangered,27000
823,Yami,China,CHN,Vulnerable,27000
824,Ko,Sudan,SDN,Critically endangered,26830
825,Yuracaré,Bolivia (Plurinational State of),BOL,Definitely endangered,26750
826,Aimol,India,IND,Critically endangered,26430
827,Kohi,Nepal,NPL,Vulnerable,26410
828,Chatino of the western lowlands,Mexico,MEX,Definitely endangered,26400
829,Bolo,Angola,ANG,Definitely endangered,26270
830,Logol,Sudan,SDN,Severely endangered,26000
831,Sila,Lao People's Democratic Republic;Viet Nam,LAO;VNM,Definitely endangered,26000
832,Pisaflores Tepehua,Mexico,MEX,Vulnerable,25780
833,Xerente,Brazil,BRA,Severely endangered,25690
834,Bribri (Panama),Panama,PAN,Severely endangered,25210
835,Achuar,Ecuador;Peru,ECU;PER,Definitely endangered,25000
836,Bai,Sudan,SDN,Definitely endangered,25000
837,Banka,Mali,MLI,Definitely endangered,25000
838,Culina (Peru),Peru,PER,Definitely endangered,25000
839,Gadang,Chad,TCD,Definitely endangered,25000
840,Khinalug,Azerbaijan,AZE,Severely endangered,25000
841,Laomian (China),China,CHN,Definitely endangered,25000
842,Laomian (Myanmar),Myanmar,MMR,Definitely endangered,25000
843,Lhokpu,Bhutan,BTN,Definitely endangered,25000
844,Martuwangka,Australia,AUS,Vulnerable,25000
845,Mayoruna (Peru),Peru,PER,Vulnerable,25000
846,Pingelapese,Micronesia (Federated States of),FSM,Severely endangered,25000
847,Rapanui,Chile,CHL,Severely endangered,25000
848,Remo,India,IND,Severely endangered,25000
849,Roshorvi,Tajikistan,TJK,Severely endangered,25000
850,Sanglechi,Tajikistan;Afghanistan,TJK;AFG,Severely endangered,25000
851,Semelai,Malaysia,MYS,Severely endangered,25000
852,Urak Lawoi (Malaysia),Malaysia,MYS,Definitely endangered,25000
853,Urak Lawoi (Thailand),Thailand,THA,Definitely endangered,25000
854,Zirenkel,Chad,TCD,Definitely endangered,25000
855,Vumbu,Gabon,GAB,Definitely endangered,24600
856,Mopán (Guatemala),Guatemala,GTM,Severely endangered,24550
857,Cuiba,Colombia;Venezuela (Bolivarian Republic of),COL;VEN,Severely endangered,24450
858,Raji,Nepal,NPL,Severely endangered,24130
859,Highland Chontal,Mexico,MEX,Severely endangered,24100
860,Yasa,Cameroon;Equatorial Guinea,CMR;GNQ,Definitely endangered,24010
861,Bumbita Arapesh,Papua New Guinea,PNG,Vulnerable,23530
862,Mang (China),China,CHN,Definitely endangered,23000
863,Mang (Viet Nam),Viet Nam,VNM,Definitely endangered,23000
864,Tlachichilco Tepehua,Mexico,MEX,Definitely endangered,22340
865,Blackfoot (Canada),Canada,CAN,Definitely endangered,22000
866,Jaya,Chad,TCD,Severely endangered,22000
867,Karipuna do Amapá,Brazil,BRA,Vulnerable,22000
868,Kulfa,Chad,TCD,Definitely endangered,22000
869,Krahô,Brazil,BRA,Vulnerable,21840
870,Kristang,Malaysia,MYS,Severely endangered,21500
871,Yine,Peru,PER,Definitely endangered,21500
872,North Alaskan Inupiaq (Kotzebue Sound),United States of America,USA,Severely endangered,21440
873,North Alaskan Inupiaq (North Slope),United States of America,USA,Severely endangered,21440
874,Seward Peninsula Inupiaq (King Island),United States of America,USA,Critically endangered,21440
875,Seward Peninsula Inupiaq (Little Diomede Island),United States of America,USA,Critically endangered,21440
876,Seward Peninsula Inupiaq (Norton Sound),United States of America,USA,Critically endangered,21440
877,Katukína-Kanamarí,Brazil,BRA,Vulnerable,21000
878,Tiwi,Australia,AUS,Vulnerable,21000
879,Zaozou,China,CHN,Vulnerable,21000
880,Ngäbere (Costa Rica),Costa Rica,CRI,Definitely endangered,20410
881,Aiton,India,IND,Severely endangered,20000
882,Anindilyakwa,Australia,AUS,Vulnerable,20000
883,Apurinã,Brazil,BRA,Definitely endangered,20000
884,Arrernte,Australia,AUS,Vulnerable,20000
885,Ashkun,Afghanistan,AFG,Definitely endangered,20000
886,Ata,Philippines,PHL,Critically endangered,20000
887,Athpahariya,Nepal,NPL,Definitely endangered,20000
888,Ava-Guaraní,Argentina,ARG,Definitely endangered,20000
889,Bayso,Ethiopia,ETH,Definitely endangered,20000
890,Birhor,India,IND,Critically endangered,20000
891,Boano,Indonesia,IDN,Vulnerable,20000
892,Bori,China;India,CHN;IND,Definitely endangered,20000
893,Chepya,Lao People's Democratic Republic,LAO,Definitely endangered,20000
894,Chilisso,Pakistan,PAK,Severely endangered,20000
895,Culina (Brazil),Brazil,BRA,Vulnerable,20000
896,Damana,Colombia,COL,Definitely endangered,20000
897,Duguza,Nigeria,NGA,Definitely endangered,20000
898,Galibi Marworno,Brazil,BRA,Vulnerable,20000
